GEOID,place,state,state_abbr,county,ua_name,ua_pop,congressio,cbg_pop,acs_pop,land_area,biome,cnpysource,tc_goal,treecanopy,tc_gap,priority_i,pctpoc,pctpocnorm,pctpov,pctpovnorm,unemplrate,unemplnorm,dep_ratio,dep_perc,depratnorm,linguistic,lingnorm,health_nor,temp_diff,temp_norm,tes,tesctyscor,holc_grade,child_perc,seniorperc,ej_disadva,rank,rankgrpsz,_bld1200,_veg1200,_tot1200,_bld1500,_veg1500,_tot1500,_bld1800,_veg1800,_tot1800
170010010021,Quincy,Illinois,IL,Adams County,"Quincy, IL",43427,IL Congressional District 18,1073,971.0,0.6513,Forest,Google,0.5,0.2775,0.2225,0.409475509515007,0.116374871266735,0.261761401034729,0.225540679711637,0.237462383404123,0.021276595744681,0.112384069830878,0.42375366568915,0.297631307929969,0.094810584623827,0.009922822491731,1.0,0.265046291469441,3.8,0.435567010309278,75,78.0,,0.170957775489186,0.126673532440783,,28.0,42,,,,,,,,,
170010010022,Quincy,Illinois,IL,Adams County,"Quincy, IL",43427,IL Congressional District 18,2036,2077.0,2.419,Forest,Google,0.5,0.2884,0.2116,0.46561010408067,0.122773230621088,0.276570419945099,0.313510693792384,0.339490889492859,0.0,0.0,1.48444976076555,0.597496389022629,0.703935476650158,0.009922822491731,1.0,0.265046291469441,-0.32,0.258591065292096,73,78.0,,0.31824747231584,0.279248916706789,,30.0,42,,,,,,,,,
170010011001,Quincy,Illinois,IL,Adams County,"Quincy, IL",43427,IL Congressional District 18,1127,1398.0,1.6874,Forest,Google,0.5,0.1909,0.3091,0.350077970028805,0.040772532188841,0.086779596001998,0.42556281771968,0.469450068513545,0.037891268533773,0.200143623537363,1.014409221902017,0.503576537911302,0.434005763688761,0.000927029532512,0.093423976220952,0.220526200554663,3.92,0.440721649484536,70,78.0,,0.190987124463519,0.312589413447783,,34.0,42,,,,,,,,,
170010011002,Quincy,Illinois,IL,Adams County,"Quincy, IL",43427,IL Congressional District 18,2667,2655.0,3.0975,Forest,Google,0.5,0.317,0.183,0.331860417602368,0.248210922787194,0.566896275759568,0.245574387947269,0.260697679476975,0.010902483343428,0.057587476121698,0.75131926121372,0.429001883239171,0.282921353515715,0.000927029532512,0.093423976220952,0.220526200554663,1.14,0.321305841924399,83,78.0,,0.154048964218456,0.274952919020716,,18.0,42,,,,,,,,,
170010011003,Quincy,Illinois,IL,Adams County,"Quincy, IL",43427,IL Congressional District 18,2213,2204.0,3.3623,Forest,Google,0.5,0.3436,0.1564,0.270957858651552,0.117513611615245,0.264397018451811,0.073049001814882,0.060601003428784,0.064648117839607,0.3414746737169,0.608759124087591,0.378402903811252,0.201053485294745,0.000927029532512,0.093423976220952,0.220526200554663,-2.89,0.14819587628866,88,78.0,,0.232304900181488,0.146098003629764,,5.0,42,,,,,,,,,
170010011004,Quincy,Illinois,IL,Adams County,"Quincy, IL",43427,IL Congressional District 18,1904,1779.0,2.1416,Forest,Google,0.5,0.2495,0.2505,0.247134449799591,0.052838673412029,0.114706710384503,0.02079820123665,0.0,0.052044609665428,0.27490229720713,0.548302872062663,0.354131534569983,0.166335333547097,0.000927029532512,0.093423976220952,0.220526200554663,0.05,0.274484536082474,83,78.0,,0.209668353007307,0.144463181562676,,18.0,42,,,,,,,,,
170010104001,Quincy,Illinois,IL,Adams County,"Quincy, IL",43427,IL Congressional District 18,556,1843.0,2.4671,Forest,Google,0.5,0.2203,0.2797,0.206343722299877,0.008681497558329,0.012504815175053,0.081931633206728,0.070903168553086,0.002938295788443,0.01552022903639,1.050055617352614,0.5122083559414,0.454476383766238,0.0,0.0,0.131101559730592,-3.02,0.142611683848797,84,78.0,,0.310363537710255,0.201844818231145,,14.0,42,,,,,,,,,
170010105001,Quincy,Illinois,IL,Adams County,"Quincy, IL",43427,IL Congressional District 18,1910,2135.0,4.0458,Forest,Google,0.5,0.2397,0.2603,0.222044063516562,0.00327868852459,0.0,0.148235294117647,0.147802820572532,0.023208879919273,0.122590493932572,1.027540360873694,0.506791569086651,0.441546569811677,0.0,0.0,0.117016806722689,-3.54,0.120274914089347,84,78.0,,0.215456674473068,0.291334894613583,,14.0,42,,,,,,,,,
170010105002,,Illinois,IL,Adams County,"Quincy, IL",43427,IL Congressional District 18,695,799.0,2.344,Forest,Google,0.5,0.3523,0.1477,0.21899260478746,0.09261576971214,0.206770900387711,0.056320400500626,0.041199003566865,0.0,0.0,1.195054945054945,0.544430538172716,0.537745003534477,0.0,0.0,0.117016806722689,-5.81,0.022766323024055,91,,,0.257822277847309,0.286608260325407,,1.0,2,,,,,,,,,
170010106001,Quincy,Illinois,IL,Adams County,"Quincy, IL",43427,IL Congressional District 18,450,1530.0,4.1346,Forest,Google,0.5,0.2592,0.2408,0.181610459577848,0.026143790849673,0.052921337168932,0.061143984220907,0.04679344442398,0.016252390057361,0.085845957738883,0.455756422454805,0.313071895424837,0.113188775936034,0.0,0.0,0.1847957545301,-2.82,0.151202749140893,88,78.0,,0.119607843137255,0.193464052287582,,5.0,42,,,,,,,,,
170010106002,,Illinois,IL,Adams County,"Quincy, IL",43427,IL Congressional District 18,15,1434.0,0.3535,Forest,Google,0.5,0.2788,0.2212,0.182827835992144,0.066248256624826,0.145743224650208,0.061484098939929,0.047187912891937,0.0,0.0,0.68904593639576,0.407949790794979,0.247159713181658,0.0,0.0,0.1847957545301,-5.89,0.019329896907216,88,,,0.237099023709902,0.170850767085077,,2.0,2,,,,,,,,,
170010106003,Quincy,Illinois,IL,Adams County,"Quincy, IL",43427,IL Congressional District 18,228,1599.0,0.129,Forest,Google,0.4,0.2819,0.1181,0.246192700726317,0.018136335209506,0.034388060834818,0.215134459036898,0.225393144123351,0.023686920700309,0.125115529852914,0.64,0.390243902439024,0.218994152046784,0.0,0.0,0.1847957545301,1.77,0.348367697594502,92,78.0,,0.141338336460288,0.248905565978737,,3.0,42,,,,,,,,,
170010106004,Quincy,Illinois,IL,Adams County,"Quincy, IL",43427,IL Congressional District 18,495,1186.0,1.3859,Forest,Google,0.5,0.3272,0.1728,0.322387969830093,0.027824620573356,0.056811621816072,0.337002540220152,0.366736968981845,0.118086696562033,0.623739986968686,0.861852433281005,0.462900505902192,0.346397128352016,0.0,0.0,0.1847957545301,-2.82,0.151202749140893,84,78.0,,0.277403035413153,0.185497470489039,,14.0,42,,,,,,,,,
170059512002,Greenville,Illinois,IL,Bond County,"Greenville, IL",6765,IL Congressional District 15,99,1521.0,0.197,Forest,Google,0.5,0.2808,0.2192,0.302912838710623,0.082182774490467,0.125048562548562,0.218145430286858,0.285497364166162,0.027816411682893,0.075004967216372,0.653260869565217,0.395134779750164,0.326630434782609,0.0,0.0,0.447468637992831,-4.26,0.318561001042753,86,85.0,,0.157133464825773,0.238001314924392,,5.0,8,,,,,,,,,
170059513001,Greenville,Illinois,IL,Bond County,"Greenville, IL",6765,IL Congressional District 15,1511,1698.0,2.2416,Forest,Google,0.5,0.4036,0.0964,0.388659900837579,0.087750294464075,0.133520050326587,0.530142945929149,0.693823443814649,0.044797687861272,0.120793765483072,0.552102376599634,0.355712603062426,0.276051188299817,0.0,0.0,0.586637544802867,-2.04,0.434306569343066,92,85.0,,0.17020023557126,0.185512367491166,,3.0,8,,,,,,,,,
